square,higher_geography_identifier,geographic_region__higher_geography
SJ58T,58,Cheshire
SJ54V,58,Cheshire
SJ54W,58,Cheshire
SJ54X,58,Cheshire
SJ54Y,58,Cheshire
SJ54Z,58,Cheshire
SJ55V,58,Cheshire
SJ55W,58,Cheshire
SJ55X,58,Cheshire
SJ55Y,58,Cheshire
SJ55Z,58,Cheshire
SJ56V,58,Cheshire
SJ56W,58,Cheshire
SJ56X,58,Cheshire
SJ56Y,58,Cheshire
SJ56Z,58,Cheshire
SJ57V,58,Cheshire
SJ57W,58,Cheshire
SJ57X,58,Cheshire
SJ57Y,58,Cheshire
SJ57Z,58,Cheshire
SJ58V,58,Cheshire
SJ58W,58,Cheshire
SJ58X,58,Cheshire
SJ58Y,58,Cheshire
SJ63E,58,Cheshire
SJ64A,58,Cheshire
SJ64B,58,Cheshire
SJ64C,58,Cheshire
SJ64D,58,Cheshire
SJ64E,58,Cheshire
SJ65A,58,Cheshire
SJ65B,58,Cheshire
SJ65C,58,Cheshire
SJ65D,58,Cheshire
SJ65E,58,Cheshire
SJ66A,58,Cheshire
SJ66B,58,Cheshire
SJ66C,58,Cheshire
SJ66D,58,Cheshire
SJ66E,58,Cheshire
SJ67A,58,Cheshire
SJ67B,58,Cheshire
SJ67C,58,Cheshire
SJ67D,58,Cheshire
SJ67E,58,Cheshire
SJ68A,58,Cheshire
SJ68B,58,Cheshire
SJ68C,58,Cheshire
SJ68D,58,Cheshire
SJ68E,58,Cheshire
SJ63J,58,Cheshire
SJ64F,58,Cheshire
SJ64G,58,Cheshire
SJ64H,58,Cheshire
SJ64I,58,Cheshire
SJ64J,58,Cheshire
SJ65F,58,Cheshire
SJ65G,58,Cheshire
SJ65H,58,Cheshire
SJ65I,58,Cheshire
SJ65J,58,Cheshire
SJ66F,58,Cheshire
SJ66G,58,Cheshire
SJ66H,58,Cheshire
SJ66I,58,Cheshire
SJ66J,58,Cheshire
SJ67F,58,Cheshire
SJ67G,58,Cheshire
SJ67H,58,Cheshire
SJ67I,58,Cheshire
SJ67J,58,Cheshire
SJ68F,58,Cheshire
SJ68G,58,Cheshire
SJ68H,58,Cheshire
SJ68I,58,Cheshire
SJ68J,58,Cheshire
SJ63N,58,Cheshire
SJ63P,58,Cheshire
SJ64K,58,Cheshire
SJ64L,58,Cheshire
SJ64M,58,Cheshire
SJ64N,58,Cheshire
SJ64P,58,Cheshire
SJ65K,58,Cheshire
SJ65L,58,Cheshire
SJ65M,58,Cheshire
SJ65N,58,Cheshire
SJ65P,58,Cheshire
SJ66K,58,Cheshire
SJ66L,58,Cheshire
SJ66M,58,Cheshire
SJ66N,58,Cheshire
SJ66P,58,Cheshire
SJ67K,58,Cheshire
SJ67L,58,Cheshire
SJ67M,58,Cheshire
SJ67N,58,Cheshire
SJ67P,58,Cheshire
SJ68K,58,Cheshire
SJ68L,58,Cheshire
SJ68M,58,Cheshire
SJ68N,58,Cheshire
SJ68P,58,Cheshire
SJ64Q,58,Cheshire
SJ64R,58,Cheshire
SJ64S,58,Cheshire
SJ64T,58,Cheshire
SJ64U,58,Cheshire
SJ65Q,58,Cheshire
SJ65R,58,Cheshire
SJ65S,58,Cheshire
SJ65T,58,Cheshire
SJ65U,58,Cheshire
SJ66Q,58,Cheshire
SJ66R,58,Cheshire
SJ66S,58,Cheshire
SJ66T,58,Cheshire
SJ66U,58,Cheshire
SJ67Q,58,Cheshire
SJ67R,58,Cheshire
SJ67S,58,Cheshire
SJ67T,58,Cheshire
SJ67U,58,Cheshire
SJ68Q,58,Cheshire
SJ68R,58,Cheshire
SJ68S,58,Cheshire
SJ68T,58,Cheshire
SJ68U,58,Cheshire
SJ64V,58,Cheshire
SJ64W,58,Cheshire
SJ64X,58,Cheshire
SJ64Y,58,Cheshire
SJ64Z,58,Cheshire
SJ65V,58,Cheshire
SJ65W,58,Cheshire
SJ65X,58,Cheshire
SJ65Y,58,Cheshire
SJ65Z,58,Cheshire
SJ66V,58,Cheshire
SJ66W,58,Cheshire
SJ66X,58,Cheshire
SJ66Y,58,Cheshire
SJ66Z,58,Cheshire
SJ67V,58,Cheshire
SJ67W,58,Cheshire
SJ67X,58,Cheshire
SJ67Y,58,Cheshire
SJ67Z,58,Cheshire
SJ68V,58,Cheshire
SJ68W,58,Cheshire
SJ68X,58,Cheshire
SJ68Y,58,Cheshire
SJ68Z,58,Cheshire
SJ69V,58,Cheshire
SJ74A,58,Cheshire
SJ74B,58,Cheshire
SJ74C,58,Cheshire
SJ74D,58,Cheshire
SJ74E,58,Cheshire
SJ75A,58,Cheshire
SJ75B,58,Cheshire
SJ75C,58,Cheshire
SJ75D,58,Cheshire
SJ75E,58,Cheshire
SJ76A,58,Cheshire
SJ76B,58,Cheshire
SJ76C,58,Cheshire
SJ76D,58,Cheshire
SJ76E,58,Cheshire
SJ77A,58,Cheshire
SJ77B,58,Cheshire
SJ77C,58,Cheshire
SJ77D,58,Cheshire
SJ77E,58,Cheshire
SJ78A,58,Cheshire
SJ78B,58,Cheshire
SJ78C,58,Cheshire
SJ78D,58,Cheshire
